Date,USD_rate,Inflation_rate,gold_price_USD,gold_price_NPR,interest_rate,festivals/weeding,nepse_index
7/26/2024,133.96,0.0357,2385.57,131511,0.065,0,2708.58
7/25/2024,133.92,0.0357,2364.5,130310,0.065,0,2572.88
7/24/2024,133.95,0.0357,2397.59,132163,0.065,0,2600.41
7/23/2024,133.9,0.0357,2409.21,132754,0.065,0,2563.45
7/22/2024,133.85,0.0357,2397.65,132068,0.065,0,2504.53
7/19/2024,133.86,0.0357,2400.79,132251,0.065,0,2494.71
7/18/2024,133.84,0.0357,2444.97,134665,0.065,0,2459.94
7/17/2024,133.622,0.0357,2458.38,135183,0.065,0,2364.76
7/16/2024,133.73,0.0357,2468.57,135853,0.065,0,2310.84
7/15/2024,133.75,0.0357,2422.07,133314,0.065,0,2287.15
7/12/2024,133.66,0.0357,2411.27,132630,0.065,0,2290.95
7/11/2024,133.7,0.0357,2414.78,132863,0.065,0,2205.15
7/10/2024,133.63,0.0357,2371.07,130389,0.065,0,2176.48
7/9/2024,133.58,0.0357,2363.58,129929,0.065,0,2152.14
7/8/2024,133.59,0.0357,2358.8,129676,0.065,0,2149.17
7/5/2024,133.58,0.0357,2391.46,131461,0.065,0,2146.81
7/4/2024,133.59,0.0357,2356.12,129528,0.065,0,2129.08
7/3/2024,133.65,0.0357,2356.06,129583,0.065,0,2104.22
7/2/2024,133.61,0.0357,2329.28,128072,0.065,0,2162.49
7/1/2024,133.5,0.0357,2331.7,128100,0.065,0,2053.38
6/28/2024,133.41,0.0417,2325.71,127684,0.065,0,2059.28
6/27/2024,133.54,0.0417,2327.45,127904,0.065,0,2059.74
6/26/2024,133.71,0.0417,2297.91,126442,0.065,0,2077.11
6/25/2024,133.49,0.0417,2319.01,127393,0.065,0,2077.22
6/24/2024,133.54,0.0417,2332.93,128206,0.065,0,2079.19
6/21/2024,133.65,0.0417,2320.34,127619,0.065,0,2079.15
6/20/2024,133.84,0.0417,2359.63,129964,0.065,0,2095.13
6/19/2024,133.53,0.0417,2327.48,127896,0.065,0,2086.65
6/18/2024,133.46,0.0417,2328.33,127876,0.065,0,2098.59
6/17/2024,133.622,0.0417,2318.87,127511,0.065,0,2116.03
6/14/2024,133.69,0.0417,2332.52,128327,0.065,0,2090.12
6/13/2024,133.67,0.0417,2303.19,126694,0.065,0,2126.61
6/12/2024,133.67,0.0417,2322.55,127759,0.065,0,2133.73
6/11/2024,133.7,0.0417,2316.27,127443,0.065,0,2115.24
6/10/2024,133.61,0.0417,2310.6,127045,0.065,0,2088.77
6/7/2024,133.4,0.0417,2292.71,125863,0.065,0,2093.71
6/6/2024,133.56,0.0417,2375.61,130571,0.065,0,2088.61
6/5/2024,133.39,0.0417,2354.78,129261,0.065,0,2091.47
6/4/2024,133.65,0.0417,2327.68,128022,0.065,0,2092.28
6/3/2024,133.03,0.0417,2350.35,128670,0.065,0,2095.67
5/31/2024,133.54,0.044,2326.97,127878,0.07,0,2085.87
5/30/2024,133.31,0.044,2343.0,128537,0.07,0,2099.87
5/29/2024,133.35,0.044,2338.77,128344,0.07,0,2152.85
5/28/2024,133.08,0.044,2360.95,129298,0.07,0,2124.31
5/27/2024,133.01,0.044,2350.74,128672,0.07,0,2141.25
5/24/2024,132.96,0.044,2333.76,127694,0.07,0,2029.1
5/23/2024,133.162,0.044,2328.37,127593,0.07,0,2029.1
5/22/2024,133.25,0.044,2378.25,130412,0.07,0,2140.02
5/21/2024,133.29,0.044,2421.64,132831,0.07,0,2118.26
5/20/2024,133.397,0.044,2425.12,133129,0.07,0,2119.89
